Invoice_id,Branch,City,Customer_type,Gender,Product_line,Unit_price,Quantity,Date,Payment,Rating
750-67-8428,Alex,Yangon,Member,Female,Health and beauty,74.69,7,1/5/2019,Ewallet,9.1
226-31-3081,Giza,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3/8/2019,Cash,9.6
631-41-3108,Alex,Yangon,Normal,Female,Home and lifestyle,46.33,7,3/3/2019,Credit card,7.4
123-19-1176,Alex,Yangon,Member,Female,Health and beauty,58.22,8,1/27/2019,Ewallet,8.4
373-73-7910,Alex,Yangon,Member,Female,Sports and travel,86.31,7,2/8/2019,Ewallet,5.3
699-14-3026,Giza,Naypyitaw,Member,Female,Electronic accessories,85.39,7,3/25/2019,Ewallet,4.1
355-53-5943,Alex,Yangon,Member,Female,Electronic accessories,68.84,6,2/25/2019,Ewallet,5.8
315-22-5665,Giza,Naypyitaw,Member,Female,Home and lifestyle,73.56,10,2/24/2019,Ewallet,8
665-32-9167,Alex,Yangon,Member,Female,Health and beauty,36.26,2,1/10/2019,Credit card,7.2
692-92-5582,Cairo,Mandalay,Member,Female,Food and beverages,54.84,3,2/20/2019,Credit card,5.9
351-62-0822,Cairo,Mandalay,Member,Female,Fashion accessories,14.48,4,2/6/2019,Ewallet,4.5
529-56-3974,Cairo,Mandalay,Member,Female,Electronic accessories,25.51,4,3/9/2019,Cash,6.8
365-64-0515,Alex,Yangon,Member,Female,Electronic accessories,46.95,5,2/12/2019,Ewallet,7.1
252-56-2699,Alex,Yangon,Member,Female,Food and beverages,43.19,10,2/7/2019,Ewallet,8.2
829-34-3910,Alex,Yangon,Member,Female,Health and beauty,71.38,10,3/29/2019,Cash,5.7
299-46-1805,Cairo,Mandalay,Member,Female,Sports and travel,93.72,6,1/15/2019,Cash,4.5
656-95-9349,Alex,Yangon,Member,Female,Health and beauty,68.93,7,3/11/2019,Credit card,4.6
765-26-6951,Alex,Yangon,Member,Female,Sports and travel,72.61,6,1/1/2019,Credit card,6.9
329-62-1586,Alex,Yangon,Member,Female,Food and beverages,54.67,3,1/21/2019,Credit card,8.6
319-50-3348,Cairo,Mandalay,Member,Female,Home and lifestyle,40.3,2,3/11/2019,Ewallet,4.4
300-71-4605,Giza,Naypyitaw,Member,Female,Electronic accessories,86.04,5,2/25/2019,Ewallet,4.8
371-85-5789,Cairo,Mandalay,Member,Female,Health and beauty,87.98,3,3/5/2019,Ewallet,5.1
273-16-6619,Cairo,Mandalay,Member,Female,Home and lifestyle,33.2,2,3/15/2019,Credit card,4.4
636-48-8204,Alex,Yangon,Member,Female,Electronic accessories,34.56,5,2/17/2019,Ewallet,9.9
549-59-1358,Alex,Yangon,Member,Female,Sports and travel,88.63,3,3/2/2019,Ewallet,6
227-03-5010,Alex,Yangon,Member,Female,Home and lifestyle,52.59,8,3/22/2019,Credit card,8.5
649-29-6775,Cairo,Mandalay,Member,Female,Fashion accessories,33.52,1,2/8/2019,Cash,6.7
189-17-4241,Alex,Yangon,Member,Female,Fashion accessories,87.67,2,3/10/2019,Credit card,7.7
145-94-9061,Cairo,Mandalay,Member,Female,Food and beverages,88.36,5,1/25/2019,Cash,9.6
848-62-7243,Alex,Yangon,Member,Female,Health and beauty,24.89,9,3/15/2019,Cash,7.4
